Station,Depth bottom,Depth top,B. digitata,G. siphonifera,G. calida,G. radians,T. sacculifer,O. universa,O. universa juvenile,G. ruber white,G. ruber pink,G. conglobatus,G. elongatus,G. tenellus,G. rubescens,G. bulloides,T. quinqueloba,T. humilis,T. clarkei,G. menardii,G. tumida,G. ungulata,G. scitula,G. hirsuta,G. crassaformis,N. dutertrei,P. obliquiloculata,N. incompta,G. glutinata,C. nitida,T. parkerae,T. iota,T. fleisheri,H. pelagica,B. pumilio,D. anfracta,G. falconensis,benthic,undeterminate,Total shells
VWXU0012,124,101,0.0000,0.4858,0.1619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1619,0.0000,0.0000,0.0000,0.0000,0.0000,0.1619,0.0000,0.0000,0.0000,0.0000,0.1619,0.0000,0.0000,0.0000,0.0000,0.0000,1.1336
LTMW4442,30,0,0.0000,1.4444,0.2222,0.0000,2.4444,0.5556,1.6667,14.3333,6.0000,0.0000,0.2222,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.2222,0.0000,2.6667,0.1111,0.0000,0.0000,0.3333,0.0000,0.0000,0.8889,0.0000,0.5556,15.1111,47.1111
LTMW4442,64,30,0.0000,0.5556,0.0000,0.0000,1.2222,0.3333,0.0000,2.5556,0.5556,0.0000,0.3333,0.0000,0.4444,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,1.8889,0.0000,7.1111,0.0000,0.3333,0.0000,0.0000,0.1111,0.0000,0.4444,0.0000,0.0000,2.7778,18.8889
LTMW4442,80,64,0.0000,1.2500,0.0000,0.0000,0.0000,1.2500,0.0000,1.2500,0.5000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.2500,0.0000,3.7500,0.2500,0.0000,0.0000,0.2500,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,10.2500
LTMW4442,102,80,0.6000,2.0000,0.6000,0.0000,0.2000,0.8000,0.0000,2.2000,1.0000,0.0000,0.0000,0.4000,0.4000,0.0000,0.0000,0.2000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.4000,0.8000,0.0000,0.2000,0.2000,0.0000,1.0000,14.6000
LTMW4442,130,102,0.0000,0.5000,0.0000,0.0000,0.0000,0.3750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
YBVV0583,48,0,0.0000,2.4615,0.1538,0.0000,1.6923,0.3077,0.2308,12.4615,1.6154,0.0769,0.1538,0.2308,0.0769,0.3846,0.0000,0.2308,0.9231,0.1538,0.0000,0.0000,0.0769,0.0000,0.0000,0.1538,0.0000,0.6154,18.9231,0.2308,0.0000,0.0000,0.1538,0.0000,0.0000,0.6154,0.0000,0.0000,6.6154,48.5385
YBVV0583,96,48,0.0000,0.3077,0.0769,0.0000,0.0769,0.6923,0.0000,1.6923,1.0000,0.0000,0.5385,0.0000,0.3846,0.0000,0.0000,0.0000,0.0769,0.1538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0769,0.0000,0.0000,2.2308,0.0000,0.0000,0.0000,0.0000,0.0769,0.0000,0.0000,0.0000,0.0000,0.4615,7.8462
YBVV0583,144,96,0.9167,0.5833,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.2500,0.0000,0.1667,0.0000,0.0000,0.0000,0.4167,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,2.8333
YBVV0583,203,144,1.0588,0.6471,0.3529,0.0000,0.0588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0588,0.0000,0.4118,0.0000,0.0588,0.0000,0.0000,0.0000,0.0000,0.2353,0.0000,0.1176,0.0000,0.0000,0.0000,0.7647,0.0000,0.0000,0.0000,1.3529,0.3529,0.0000,0.0000,0.0000,0.0000,0.0000,5.4706
YBVV0583,268,203,0.1500,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.1000,0.0000,0.0000,0.0000,0.1500,0.0000,0.0000,0.0000,0.1000,0.3500,0.0000,0.0500,0.0000,0.0500,0.0000,1.3500
SVBT9363,35,0,0.0000,0.0000,0.8000,0.0000,0.5000,0.0000,0.5000,5.3000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.1000,0.0000,10.7000,0.0000,0.0000,0.0000,0.3000,0.0000,0.0000,0.3000,0.0000,0.0000,1.2000,21.0000
SVBT9363,98,35,0.0000,0.7059,1.2353,0.0000,0.1765,0.7059,0.0000,2.1765,2.0000,0.0000,0.4706,0.0000,0.0000,0.0000,0.0000,0.0588,0.1176,0.3529,0.0000,0.0000,0.0000,0.0588,0.0000,0.7647,0.1765,0.0000,3.5294,0.0000,0.0000,0.0000,0.1176,0.1765,0.0000,0.7059,0.0000,0.0000,2.6471,16.1765
SVBT9363,141,98,0.0000,0.0909,2.0909,0.0000,0.0000,0.0000,0.0000,0.1818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2727,0.0000,0.8182,0.1818,0.0000,0.0000,0.3636,0.0000,0.0000,0.0000,0.7273,0.2727,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
SVBT9363,181,141,0.0000,0.0000,2.5000,0.0000,0.0000,0.0000,0.0000,0.1000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.1000,0.0000,0.0000,0.6000,0.0000,0.0000,0.0000,1.4000,0.4000,0.0000,0.0000,0.0000,0.1000,0.4000,6.4000
SVBT9363,225,181,0.0000,0.0000,0.1818,0.0000,0.0000,0.0000,0.0000,0.0909,0.1818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0909,0.0000,0.0909,0.0909,0.0000,0.0000,0.1818,0.0000,0.0000,0.0000,0.6364,0.1818,0.0000,0.0000,0.0000,0.0000,0.0000,1.7273
