Age,d18Oc
1.4,3.734
1.402,3.697
1.404,3.798
1.406,3.95
1.408,4.151
1.41,4.336
1.412,4.404
1.414,4.415
1.416,4.381
1.418,4.314
1.42,4.215
1.422,4.103
1.424,4.001
1.426,3.899
1.428,3.839
1.43,3.767
1.432,3.591
1.434,3.418
1.436,3.32
1.438,3.263
1.44,3.299
1.442,3.366
1.444,3.341
1.446,3.343
1.448,3.495
1.45,3.714
1.452,4.034
1.454,4.348
1.456,4.53
1.458,4.624
1.46,4.585
1.462,4.485
1.464,4.334
1.466,4.172
1.468,4.052
1.47,4.001
1.472,3.967
1.474,3.927
1.476,3.883
1.478,3.805
1.48,3.71
1.482,3.605
1.484,3.505
1.486,3.411
1.488,3.34
1.49,3.342
1.492,3.382
1.494,3.452
1.496,3.526
1.498,3.567
1.5,3.59
1.502,3.56
1.504,3.542
1.506,3.597
1.508,3.685
1.51,3.838
1.512,3.981
1.514,4.025
1.516,4.029
1.518,3.974
1.52,3.904
1.522,3.858
1.524,3.858
1.526,3.975
1.528,4.111
1.53,4.225
1.532,4.304
1.534,4.247
1.536,4.235
1.538,4.213
1.54,4.182
1.542,4.142
1.544,4.051
1.546,3.966
1.548,3.975
1.55,4.021
1.552,4.095
1.554,4.159
1.556,4.158
1.558,4.112
1.56,3.988
1.562,3.862
1.564,3.774
1.566,3.742
1.568,3.855
1.57,4.009
1.572,4.175
1.574,4.327
1.576,4.383
1.578,4.386
1.58,4.341
1.582,4.268
1.584,4.167
1.586,4.07
1.588,4.023
1.59,4.001
1.592,4.016
1.594,4.043
1.596,4.063
1.598,4.072
1.6,4.067
1.602,3.99
1.604,3.9
1.606,3.815
1.608,3.75
1.61,3.754
1.612,3.791
1.614,3.861
1.616,3.933
1.618,3.985
1.62,4.013
1.622,3.97
1.624,3.926
1.626,3.96
1.628,4.008
1.63,4.068
1.632,4.091
1.634,3.989
1.636,3.846
1.638,3.708
1.64,3.666
1.642,3.679
1.644,3.748
1.646,3.869
1.648,4.092
1.65,4.309
1.652,4.427
1.654,4.481
1.656,4.398
1.658,4.297
1.66,4.301
1.662,4.319
1.664,4.331
1.666,4.35
1.668,4.355
1.67,4.38
1.672,4.39
1.674,4.319
1.676,4.215
1.678,4.099
1.68,3.989
1.682,3.903
1.684,3.841
1.686,3.823
1.688,3.823
1.69,3.842
1.692,3.862
1.694,3.823
1.696,3.799
1.698,3.837
1.7,3.923
1.702,4.147
1.704,4.362
1.706,4.425
1.708,4.405
1.71,4.251
1.712,4.055
1.714,3.879
1.716,3.731
1.718,3.658
1.72,3.651
1.722,3.785
1.724,3.939
1.726,4.009
1.728,4.036
1.73,3.94
1.732,3.841
1.734,3.819
1.736,3.977
1.738,4.164
1.74,4.304
1.742,4.409
1.744,4.382
1.746,4.296
1.748,4.224
1.75,4.15
1.752,4.054
1.754,3.918
1.756,3.715
1.758,3.523
1.76,3.372
1.762,3.282
1.764,3.358
1.766,3.476
1.768,3.548
1.77,3.604
1.772,3.624
1.774,3.628
1.776,3.584
1.778,3.563
1.78,3.65
1.782,3.773
1.784,3.923
1.786,4.09
1.788,4.269
1.79,4.41
1.792,4.47
1.794,4.471
1.796,4.328
1.798,4.151
1.8,4.02
1.802,3.989
1.804,3.986
1.806,3.998
1.808,4.002
1.81,3.911
1.812,3.817
1.814,3.791
1.816,3.795
1.818,3.85
1.82,3.909
1.822,3.876
1.824,3.864
1.826,4.001
1.828,4.133
1.83,4.143
1.832,4.139
1.834,4.109
1.836,4.101
1.838,4.298
1.84,4.498
1.842,4.502
1.844,4.434
1.846,4.296
1.848,4.148
1.85,4.071
1.852,4.014
1.854,3.959
1.856,3.937
1.858,4.01
1.86,4.097
1.862,4.157
1.864,4.185
1.866,4.097
1.868,4.023
1.87,3.956
1.872,3.966
1.874,3.982
1.876,3.944
1.878,3.897
1.88,3.856
1.882,3.818
1.884,3.797
1.886,3.779
1.888,3.739
1.89,3.707
1.892,3.7
1.894,3.722
1.896,3.812
1.898,3.927
1.9,4.041
1.902,4.18
1.904,4.307
1.906,4.391
1.908,4.429
1.91,4.357
1.912,4.259
1.914,4.225
1.916,4.204
1.918,4.18
1.92,4.154
1.922,4.115
1.924,4.068
1.926,4.028
1.928,3.985
1.93,3.89
1.932,3.793
1.934,3.736
1.936,3.756
1.938,3.796
1.94,3.81
1.942,3.842
1.944,3.917
1.946,4.018
1.948,4.196
1.95,4.338
1.952,4.295
1.954,4.197
1.956,4.081
1.958,3.976
1.96,3.981
1.962,4.001
1.964,3.983
1.966,3.94
1.968,3.834
1.97,3.721
1.972,3.625
1.974,3.564
1.976,3.599
1.978,3.678
1.98,3.772
1.982,3.901
1.984,4.115
1.986,4.306
1.988,4.4
1.99,4.433
1.992,4.324
1.994,4.185
1.996,4.143
1.998,4.124
2,4.109
