Age,Temperature,Sea level,,Trend Age,Trend Temperature,Trend Sea level,Trend Temperature (long),Trend Sea level (long)
4.055,2.23,-2.81,,,,,,
4.060,2.17,-5.56,,,,,,
4.065,2.32,0.37,,,,,,
4.070,2.21,-4.37,,,,,,
4.075,2.31,-0.44,,,,,,
4.080,2.33,0.15,,,,,,
4.085,2.30,-1.26,,,,,,
4.090,2.24,-4.00,,,,,,
4.095,2.24,-4.07,,,,,,
4.100,2.56,9.19,,,,,,
4.105,2.55,8.44,,,,,,
4.110,2.57,9.04,,,,,,
4.115,2.51,6.30,,,,,,
4.120,2.47,4.22,,,,,,
4.125,2.37,0.15,,,,,,
4.130,2.66,12.07,,,,,,
4.135,2.41,1.33,,,,,,
4.140,2.51,5.26,,,,,,
4.145,2.42,1.19,,,,,,
4.150,2.22,-7.56,,,,,,
4.155,2.14,-10.96,,,,,,
4.160,2.22,-7.70,,,,,,
4.165,2.40,-0.44,,,,,,
4.170,2.31,-4.52,,,,,,
4.175,2.43,0.07,,,,,,
4.180,2.62,8.00,,,,,,
4.185,2.64,8.59,,,,,,
4.190,2.50,2.52,,,,,,
4.195,2.36,-3.56,,,,,,
4.200,2.25,-8.30,,,,,,
4.205,2.37,-3.70,,,,,,
4.210,2.43,-1.11,,,,,,
4.215,2.68,8.81,,,,,,
4.220,2.44,-1.26,,,,,,
4.225,2.48,0.00,,,,,,
4.230,2.59,4.59,,,,,,
4.235,2.40,-3.48,,,,,,
4.240,2.41,-3.56,,,,,,
4.245,2.36,-5.63,,,,,,
4.250,2.48,-1.04,,,,,,
4.255,2.31,-8.44,,,,,,
4.260,2.55,1.48,,,,,,
4.265,2.54,0.74,,,,,,
4.270,2.67,6.00,,,,,,
4.275,2.38,-6.07,,,,,,
4.280,2.64,4.52,,,,,,
4.285,2.57,1.11,,,,,,
4.290,2.46,-3.63,,,,,,
4.295,2.45,-4.37,,,,,,
4.300,2.43,-5.11,,,,,,
4.305,2.69,5.48,,,,,,
4.310,2.73,6.74,,,,,,
4.315,2.75,7.33,,,,,,
4.320,2.77,7.93,,,,,,
4.325,2.78,8.52,,,,,,
4.330,2.52,-2.89,,,,,,
4.335,2.76,7.04,,,,,,
4.340,2.95,14.96,,,,,,
4.345,2.74,5.56,,,,,,
4.350,2.79,7.48,,,,,,
4.355,2.71,4.07,,,,,,
4.360,2.49,-5.33,,,,,,
4.365,2.43,-8.07,,,,,,
4.370,2.63,-0.15,,,,,,
4.375,2.72,3.78,,,,,,
4.380,2.59,-2.30,,,,,,
4.385,2.94,12.30,,,,,,
4.390,2.83,7.56,,,,,,
4.395,2.66,0.15,,,,,,
