Age,Temperature,Temperature max,Temperature min,d18Osw,d18Osw max,d18Osw min,Temperature (long),Temperature max (long),Temperature min (long),d18Osw (long),d18Osw max (long),d18Osw min (long)
24.4,7.14,8.12,5.45,-0.261,-0.117,-0.513,7.14,8.25,5.43,-0.277,-0.084,-0.511
24.5,7.17,8.13,5.49,-0.233,-0.088,-0.487,7.16,8.25,5.44,-0.257,-0.068,-0.492
24.6,7.18,8.13,5.50,-0.216,-0.075,-0.462,7.17,8.25,5.45,-0.236,-0.050,-0.473
24.7,7.19,8.15,5.53,-0.205,-0.053,-0.442,7.17,8.25,5.46,-0.215,-0.030,-0.454
24.8,7.21,8.20,5.53,-0.192,-0.023,-0.434,7.17,8.24,5.46,-0.195,-0.011,-0.436
24.9,7.24,8.30,5.52,-0.172,0.019,-0.425,7.17,8.24,5.45,-0.176,0.007,-0.420
25.0,7.30,8.38,5.54,-0.142,0.056,-0.400,7.15,8.23,5.43,-0.159,0.025,-0.405
25.1,7.34,8.43,5.56,-0.108,0.086,-0.367,7.14,8.22,5.41,-0.143,0.041,-0.392
25.2,7.36,8.47,5.60,-0.072,0.128,-0.321,7.12,8.21,5.39,-0.130,0.055,-0.380
25.3,7.37,8.46,5.60,-0.041,0.156,-0.294,7.10,8.20,5.36,-0.119,0.067,-0.371
25.4,7.32,8.40,5.55,-0.030,0.175,-0.279,7.07,8.18,5.32,-0.110,0.078,-0.362
25.5,7.17,8.31,5.45,-0.044,0.157,-0.277,7.05,8.17,5.29,-0.103,0.087,-0.355
25.6,7.00,8.26,5.28,-0.066,0.159,-0.310,7.02,8.15,5.26,-0.098,0.095,-0.349
25.7,6.84,8.09,5.13,-0.087,0.133,-0.341,6.99,8.13,5.22,-0.094,0.100,-0.345
25.8,6.71,7.95,4.95,-0.103,0.105,-0.371,6.96,8.11,5.18,-0.092,0.105,-0.342
25.9,6.67,7.84,4.92,-0.101,0.076,-0.367,6.92,8.10,5.14,-0.090,0.109,-0.340
26.0,6.69,7.82,4.89,-0.094,0.067,-0.368,6.89,8.08,5.10,-0.089,0.112,-0.338
26.1,6.75,7.88,4.94,-0.083,0.079,-0.347,6.86,8.08,5.07,-0.087,0.116,-0.337
26.2,6.83,7.95,4.99,-0.079,0.093,-0.329,6.84,8.08,5.04,-0.086,0.119,-0.336
26.3,6.87,8.01,5.01,-0.090,0.101,-0.323,6.83,8.09,5.02,-0.085,0.123,-0.335
26.4,6.85,7.99,5.00,-0.106,0.097,-0.339,6.83,8.11,5.01,-0.082,0.128,-0.334
26.5,6.77,7.92,4.94,-0.124,0.091,-0.361,6.84,8.14,5.01,-0.080,0.133,-0.332
26.6,6.66,7.87,4.89,-0.138,0.082,-0.363,6.86,8.18,5.02,-0.077,0.138,-0.330
26.7,6.60,7.93,4.81,-0.133,0.097,-0.363,6.89,8.23,5.04,-0.074,0.144,-0.327
26.8,6.61,8.04,4.80,-0.109,0.117,-0.349,6.92,8.28,5.07,-0.070,0.150,-0.324
26.9,6.69,8.20,4.81,-0.073,0.162,-0.339,6.97,8.34,5.10,-0.067,0.155,-0.320
27.0,6.85,8.39,4.97,-0.034,0.211,-0.300,7.02,8.40,5.15,-0.064,0.159,-0.316
27.1,7.01,8.60,5.09,-0.006,0.245,-0.284,7.07,8.47,5.20,-0.061,0.163,-0.312
27.2,7.16,8.74,5.22,0.004,0.253,-0.268,7.13,8.53,5.25,-0.059,0.167,-0.308
27.3,7.25,8.84,5.33,-0.003,0.248,-0.267,7.19,8.60,5.31,-0.056,0.169,-0.304
27.4,7.32,8.87,5.39,-0.016,0.228,-0.277,7.26,8.66,5.37,-0.053,0.172,-0.300
27.5,7.35,8.90,5.40,-0.027,0.217,-0.299,7.32,8.73,5.43,-0.050,0.173,-0.295
27.6,7.37,8.90,5.43,-0.042,0.200,-0.323,7.39,8.79,5.50,-0.047,0.174,-0.291
27.7,7.44,8.89,5.54,-0.052,0.166,-0.312,7.46,8.85,5.56,-0.045,0.174,-0.287
27.8,7.55,8.85,5.71,-0.058,0.135,-0.277,7.52,8.90,5.62,-0.043,0.173,-0.283
27.9,7.69,8.89,5.83,-0.061,0.115,-0.274,7.57,8.94,5.67,-0.042,0.171,-0.280
28.0,7.81,9.02,5.93,-0.065,0.131,-0.276,7.60,8.96,5.71,-0.043,0.167,-0.278
28.1,7.87,9.07,5.99,-0.073,0.138,-0.278,7.63,8.98,5.74,-0.045,0.162,-0.278
28.2,7.89,9.10,6.01,-0.071,0.140,-0.281,7.65,8.98,5.76,-0.048,0.156,-0.277
28.3,7.91,9.13,6.01,-0.058,0.137,-0.270,7.65,8.98,5.77,-0.051,0.149,-0.277
28.4,7.94,9.16,6.03,-0.039,0.141,-0.265,7.65,8.96,5.77,-0.054,0.141,-0.278
28.5,7.95,9.21,6.04,-0.023,0.163,-0.246,7.64,8.94,5.77,-0.058,0.133,-0.278
28.6,7.91,9.13,6.02,-0.017,0.162,-0.239,7.62,8.91,5.76,-0.062,0.125,-0.279
28.7,7.81,9.13,5.95,-0.023,0.168,-0.243,7.60,8.88,5.74,-0.067,0.116,-0.281
28.8,7.65,9.12,5.76,-0.040,0.174,-0.271,7.56,8.83,5.71,-0.073,0.106,-0.285
28.9,7.48,9.05,5.54,-0.055,0.169,-0.294,7.52,8.78,5.67,-0.081,0.093,-0.290
29.0,7.34,8.83,5.48,-0.068,0.126,-0.294,7.47,8.71,5.63,-0.091,0.079,-0.297
29.1,7.22,8.56,5.40,-0.088,0.070,-0.300,7.40,8.64,5.57,-0.103,0.063,-0.306
29.2,7.17,8.42,5.37,-0.105,0.044,-0.313,7.34,8.56,5.52,-0.116,0.044,-0.316
29.3,7.21,8.39,5.43,-0.107,0.041,-0.311,7.27,8.48,5.45,-0.131,0.025,-0.328
29.4,7.31,8.44,5.54,-0.103,0.043,-0.290,7.20,8.39,5.40,-0.147,0.003,-0.340
29.5,7.37,8.48,5.60,-0.107,0.036,-0.280,7.13,8.31,5.34,-0.163,-0.018,-0.352
29.6,7.33,8.41,5.56,-0.125,0.007,-0.294,7.07,8.23,5.29,-0.180,-0.041,-0.365
29.7,7.14,8.19,5.38,-0.170,-0.050,-0.339,7.02,8.16,5.25,-0.197,-0.063,-0.377
29.8,6.87,7.92,5.12,-0.232,-0.112,-0.405,6.98,8.09,5.22,-0.213,-0.084,-0.389
29.9,6.63,7.70,4.87,-0.291,-0.172,-0.461,6.94,8.04,5.19,-0.230,-0.105,-0.401
30.0,6.49,7.54,4.71,-0.330,-0.213,-0.504,6.92,7.99,5.17,-0.245,-0.125,-0.413
30.1,6.51,7.55,4.76,-0.336,-0.223,-0.500,6.90,7.96,5.16,-0.260,-0.144,-0.424
30.2,6.62,7.64,4.91,-0.321,-0.211,-0.475,6.88,7.93,5.15,-0.274,-0.161,-0.434
30.3,6.72,7.74,5.02,-0.306,-0.202,-0.457,6.88,7.92,5.15,-0.286,-0.175,-0.444
30.4,6.77,7.77,5.06,-0.299,-0.210,-0.459,6.89,7.92,5.16,-0.296,-0.187,-0.451
30.5,6.77,7.79,5.07,-0.309,-0.220,-0.467,6.91,7.94,5.18,-0.302,-0.195,-0.457
30.6,6.78,7.80,5.08,-0.327,-0.235,-0.474,6.95,7.97,5.22,-0.306,-0.200,-0.459
30.7,6.83,7.85,5.16,-0.342,-0.241,-0.476,7.00,8.02,5.27,-0.306,-0.200,-0.459
30.8,6.90,7.93,5.23,-0.354,-0.240,-0.483,7.06,8.08,5.33,-0.302,-0.197,-0.455
30.9,6.97,7.99,5.27,-0.361,-0.248,-0.492,7.14,8.16,5.40,-0.296,-0.190,-0.449
31.0,7.02,8.01,5.30,-0.363,-0.257,-0.500,7.22,8.25,5.47,-0.287,-0.180,-0.441
31.1,7.08,8.06,5.36,-0.355,-0.255,-0.498,7.31,8.34,5.55,-0.277,-0.169,-0.433
31.2,7.19,8.16,5.47,-0.334,-0.240,-0.484,7.39,8.43,5.62,-0.267,-0.157,-0.424
31.3,7.37,8.36,5.62,-0.297,-0.205,-0.456,7.47,8.52,5.68,-0.257,-0.145,-0.417
31.4,7.62,8.62,5.84,-0.250,-0.149,-0.419,7.54,8.60,5.74,-0.248,-0.134,-0.410
31.5,7.87,8.90,6.07,-0.204,-0.094,-0.373,7.60,8.67,5.79,-0.239,-0.124,-0.403
31.6,8.07,9.13,6.23,-0.168,-0.041,-0.336,7.66,8.73,5.84,-0.231,-0.115,-0.397
31.7,8.18,9.28,6.32,-0.143,-0.015,-0.311,7.72,8.80,5.88,-0.223,-0.106,-0.391
31.8,8.23,9.37,6.32,-0.127,0.012,-0.303,7.77,8.85,5.92,-0.215,-0.098,-0.385
31.9,8.22,9.39,6.29,-0.120,0.021,-0.301,7.82,8.90,5.96,-0.208,-0.091,-0.378
32.0,8.14,9.29,6.23,-0.124,0.007,-0.312,7.86,8.95,6.00,-0.200,-0.084,-0.372
32.1,8.02,9.19,6.12,-0.138,-0.006,-0.333,7.90,8.98,6.03,-0.194,-0.077,-0.365
32.2,7.89,9.11,5.97,-0.164,-0.030,-0.363,7.92,9.01,6.05,-0.187,-0.072,-0.358
32.3,7.77,8.97,5.82,-0.201,-0.078,-0.397,7.94,9.03,6.07,-0.182,-0.069,-0.353
32.4,7.69,8.83,5.75,-0.232,-0.118,-0.419,7.95,9.03,6.07,-0.177,-0.068,-0.349
32.5,7.69,8.76,5.79,-0.248,-0.146,-0.422,7.95,9.03,6.07,-0.175,-0.070,-0.347
32.6,7.78,8.78,5.88,-0.247,-0.154,-0.413,7.93,9.01,6.06,-0.175,-0.075,-0.348
32.7,7.91,8.93,6.04,-0.231,-0.128,-0.379,7.91,8.98,6.04,-0.179,-0.083,-0.351
32.8,8.03,9.07,6.18,-0.208,-0.092,-0.346,7.88,8.94,6.01,-0.187,-0.095,-0.358
32.9,8.09,9.13,6.24,-0.184,-0.073,-0.318,7.84,8.89,5.98,-0.200,-0.110,-0.368
33.0,8.09,9.08,6.25,-0.161,-0.065,-0.296,7.80,8.84,5.94,-0.218,-0.129,-0.382
33.1,8.06,9.01,6.25,-0.134,-0.063,-0.278,7.76,8.79,5.90,-0.241,-0.151,-0.400
33.2,8.00,8.99,6.18,-0.105,-0.050,-0.275,7.71,8.75,5.86,-0.270,-0.177,-0.422
33.3,7.94,8.96,6.10,-0.084,-0.045,-0.288,7.67,8.70,5.82,-0.303,-0.205,-0.449
33.4,7.85,8.87,6.01,-0.089,-0.061,-0.305,7.63,8.65,5.78,-0.341,-0.237,-0.480
33.5,7.70,8.72,5.86,-0.138,-0.121,-0.354,7.58,8.61,5.73,-0.381,-0.272,-0.517
33.6,7.50,8.51,5.70,-0.233,-0.205,-0.422,7.53,8.57,5.68,-0.424,-0.309,-0.558
33.7,7.28,8.31,5.48,-0.358,-0.295,-0.516,7.48,8.52,5.63,-0.470,-0.348,-0.603
33.8,7.12,8.16,5.29,-0.487,-0.377,-0.598,7.43,8.48,5.58,-0.517,-0.389,-0.654
33.9,7.07,8.10,5.25,-0.606,-0.442,-0.675,7.38,8.44,5.52,-0.568,-0.433,-0.707
34.0,7.09,8.12,5.25,-0.720,-0.512,-0.753,7.33,8.39,5.46,-0.620,-0.478,-0.764
34.1,7.10,8.14,5.23,-0.830,-0.593,-0.847,7.28,8.35,5.40,-0.674,-0.525,-0.823
34.2,7.07,8.12,5.21,-0.931,-0.683,-0.941,7.23,8.31,5.35,-0.729,-0.572,-0.883
34.3,7.06,8.13,5.16,-0.993,-0.750,-1.030,7.19,8.27,5.30,-0.783,-0.618,-0.941
34.4,7.09,8.20,5.18,-1.007,-0.788,-1.102,7.15,8.24,5.26,-0.834,-0.661,-0.995
34.5,7.18,8.34,5.22,-0.973,-0.784,-1.142,7.13,8.22,5.23,-0.879,-0.699,-1.045
34.6,7.29,8.46,5.31,-0.914,-0.772,-1.165,7.12,8.22,5.22,-0.917,-0.732,-1.089
34.7,7.31,8.50,5.34,-0.892,-0.746,-1.209,7.13,8.23,5.22,-0.946,-0.758,-1.124
34.8,7.23,8.42,5.27,-0.937,-0.753,-1.248,7.16,8.26,5.24,-0.965,-0.776,-1.152
34.9,7.05,8.21,5.12,-1.015,-0.828,-1.301,7.19,8.30,5.27,-0.975,-0.787,-1.172
35.0,6.86,7.97,4.94,-1.116,-0.916,-1.373,7.24,8.35,5.31,-0.976,-0.791,-1.185
35.1,6.75,7.82,4.84,-1.192,-0.980,-1.417,7.29,8.41,5.35,-0.972,-0.790,-1.191
35.2,6.77,7.82,4.88,-1.211,-1.002,-1.404,7.36,8.47,5.41,-0.963,-0.785,-1.191
35.3,6.92,7.97,5.03,-1.165,-0.973,-1.357,7.42,8.54,5.47,-0.952,-0.777,-1.187
35.4,7.15,8.19,5.26,-1.080,-0.907,-1.277,7.49,8.60,5.53,-0.939,-0.767,-1.179
35.5,7.42,8.53,5.48,-0.982,-0.813,-1.207,7.56,8.68,5.60,-0.925,-0.755,-1.167
35.6,7.71,8.85,5.73,-0.887,-0.709,-1.127,7.64,8.75,5.67,-0.910,-0.742,-1.153
35.7,7.96,9.06,5.96,-0.810,-0.646,-1.051,7.72,8.83,5.75,-0.894,-0.728,-1.136
35.8,8.11,9.24,6.10,-0.746,-0.610,-0.999,7.81,8.91,5.83,-0.877,-0.713,-1.117
35.9,8.20,9.34,6.19,-0.708,-0.583,-0.976,7.89,8.99,5.91,-0.858,-0.698,-1.097
36.0,8.22,9.37,6.22,-0.698,-0.558,-0.978,7.98,9.07,5.99,-0.838,-0.681,-1.076
36.1,8.23,9.38,6.22,-0.711,-0.558,-0.990,8.05,9.14,6.06,-0.817,-0.664,-1.054
36.2,8.27,9.37,6.25,-0.725,-0.578,-1.000,8.12,9.20,6.13,-0.796,-0.648,-1.034
36.3,8.31,9.40,6.27,-0.766,-0.626,-1.001,8.17,9.25,6.18,-0.778,-0.634,-1.016
36.4,8.41,9.50,6.34,-0.784,-0.629,-1.005,8.21,9.27,6.22,-0.763,-0.624,-1.001
36.5,8.51,9.59,6.47,-0.791,-0.618,-1.004,8.23,9.29,6.24,-0.752,-0.616,-0.988
36.6,8.56,9.62,6.53,-0.789,-0.616,-1.009,8.24,9.29,6.26,-0.743,-0.611,-0.977
36.7,8.56,9.63,6.53,-0.771,-0.608,-0.999,8.24,9.29,6.26,-0.736,-0.607,-0.967
36.8,8.48,9.53,6.50,-0.751,-0.612,-0.974,8.24,9.28,6.27,-0.730,-0.605,-0.957
36.9,8.37,9.35,6.41,-0.726,-0.634,-0.946,8.25,9.28,6.28,-0.724,-0.602,-0.947
37.0,8.27,9.22,6.35,-0.699,-0.629,-0.919,8.25,9.28,6.29,-0.718,-0.598,-0.936
37.1,8.15,9.09,6.24,-0.681,-0.607,-0.911,8.26,9.29,6.30,-0.711,-0.594,-0.925
37.2,8.00,8.95,6.09,-0.685,-0.580,-0.937,8.27,9.31,6.31,-0.704,-0.589,-0.914
37.3,7.83,8.78,5.93,-0.719,-0.597,-0.956,8.29,9.32,6.32,-0.697,-0.584,-0.903
37.4,7.74,8.72,5.85,-0.750,-0.612,-0.946,8.30,9.34,6.33,-0.692,-0.581,-0.894
37.5,7.78,8.77,5.90,-0.744,-0.643,-0.903,8.31,9.36,6.34,-0.689,-0.578,-0.888
37.6,7.98,8.98,6.09,-0.700,-0.632,-0.860,8.32,9.37,6.34,-0.688,-0.578,-0.884
37.7,8.28,9.31,6.36,-0.629,-0.559,-0.812,8.33,9.39,6.34,-0.689,-0.579,-0.882
37.8,8.53,9.60,6.55,-0.574,-0.493,-0.790,8.34,9.42,6.35,-0.692,-0.582,-0.882
37.9,8.69,9.83,6.65,-0.556,-0.455,-0.767,8.36,9.46,6.36,-0.696,-0.585,-0.883
38.0,8.80,9.98,6.73,-0.572,-0.445,-0.750,8.40,9.50,6.38,-0.701,-0.588,-0.886
38.1,8.82,10.01,6.76,-0.612,-0.473,-0.769,8.44,9.55,6.41,-0.707,-0.591,-0.889
38.2,8.77,9.93,6.69,-0.667,-0.524,-0.813,8.49,9.62,6.45,-0.714,-0.595,-0.893
38.3,8.62,9.79,6.54,-0.730,-0.589,-0.876,8.55,9.69,6.50,-0.722,-0.599,-0.899
38.4,8.45,9.64,6.36,-0.782,-0.649,-0.944,8.61,9.76,6.55,-0.732,-0.603,-0.906
38.5,8.31,9.50,6.22,-0.820,-0.704,-1.001,8.68,9.83,6.60,-0.742,-0.608,-0.914
38.6,8.28,9.48,6.18,-0.838,-0.719,-1.033,8.74,9.90,6.65,-0.754,-0.613,-0.924
38.7,8.40,9.59,6.29,-0.827,-0.707,-1.022,8.80,9.96,6.70,-0.765,-0.618,-0.935
38.8,8.60,9.78,6.48,-0.801,-0.675,-0.993,8.85,10.02,6.74,-0.777,-0.624,-0.946
38.9,8.81,9.95,6.69,-0.774,-0.657,-0.955,8.90,10.07,6.79,-0.787,-0.630,-0.958
39.0,9.00,10.13,6.87,-0.763,-0.641,-0.936,8.96,10.13,6.83,-0.795,-0.635,-0.968
39.1,9.14,10.28,7.00,-0.785,-0.634,-0.940,9.01,10.18,6.88,-0.801,-0.639,-0.977
39.2,9.22,10.37,7.08,-0.841,-0.643,-0.981,9.07,10.24,6.93,-0.805,-0.642,-0.984
39.3,9.29,10.45,7.16,-0.896,-0.651,-1.011,9.13,10.30,6.98,-0.807,-0.644,-0.990
39.4,9.35,10.53,7.21,-0.909,-0.639,-1.031,9.19,10.37,7.04,-0.807,-0.644,-0.993
39.5,9.43,10.59,7.26,-0.873,-0.629,-1.024,9.26,10.44,7.10,-0.806,-0.643,-0.995
39.6,9.49,10.68,7.31,-0.813,-0.593,-0.997,9.33,10.51,7.16,-0.804,-0.640,-0.996
39.7,9.51,10.72,7.35,-0.765,-0.592,-0.987,9.40,10.59,7.23,-0.800,-0.637,-0.995
39.8,9.50,10.70,7.31,-0.745,-0.605,-0.996,9.48,10.67,7.30,-0.795,-0.632,-0.993
39.9,9.46,10.66,7.29,-0.751,-0.627,-1.001,9.55,10.76,7.37,-0.788,-0.626,-0.989
40.0,9.45,10.65,7.27,-0.767,-0.651,-1.006,9.63,10.84,7.44,-0.780,-0.619,-0.985
40.1,9.49,10.67,7.31,-0.783,-0.664,-1.019,9.71,10.93,7.51,-0.770,-0.612,-0.979
40.2,9.55,10.75,7.35,-0.795,-0.669,-1.017,9.79,11.01,7.58,-0.760,-0.604,-0.973
40.3,9.61,10.81,7.37,-0.801,-0.670,-1.020,9.86,11.09,7.64,-0.749,-0.597,-0.967
40.4,9.64,10.88,7.41,-0.802,-0.669,-1.015,9.92,11.16,7.70,-0.740,-0.591,-0.962
40.5,9.75,11.01,7.50,-0.786,-0.657,-1.001,9.98,11.22,7.75,-0.732,-0.585,-0.958
40.6,10.00,11.27,7.77,-0.746,-0.609,-0.958,10.04,11.28,7.80,-0.726,-0.580,-0.954
40.7,10.33,11.61,8.07,-0.694,-0.543,-0.916,10.09,11.34,7.85,-0.721,-0.575,-0.952
40.8,10.64,11.94,8.37,-0.640,-0.470,-0.860,10.14,11.40,7.90,-0.716,-0.570,-0.950
40.9,10.82,12.11,8.54,-0.605,-0.438,-0.818,10.19,11.45,7.95,-0.712,-0.563,-0.948
41.0,10.81,12.08,8.52,-0.607,-0.455,-0.829,10.24,11.51,7.99,-0.708,-0.556,-0.947
41.1,10.68,11.95,8.43,-0.628,-0.482,-0.864,10.30,11.57,8.05,-0.703,-0.548,-0.944
41.2,10.50,11.76,8.24,-0.660,-0.526,-0.912,10.35,11.62,8.09,-0.698,-0.541,-0.943
41.3,10.31,11.60,8.07,-0.700,-0.542,-0.958,10.39,11.67,8.13,-0.694,-0.535,-0.942
41.4,10.17,11.46,7.94,-0.735,-0.570,-0.993,10.43,11.70,8.17,-0.692,-0.531,-0.942
41.5,10.10,11.39,7.85,-0.754,-0.593,-1.008,10.45,11.73,8.19,-0.693,-0.529,-0.945
41.6,10.12,11.38,7.86,-0.754,-0.594,-1.016,10.46,11.74,8.20,-0.695,-0.531,-0.949
41.7,10.23,11.51,7.97,-0.732,-0.566,-1.004,10.46,11.74,8.20,-0.700,-0.535,-0.954
41.8,10.43,11.71,8.18,-0.699,-0.518,-0.998,10.45,11.73,8.19,-0.706,-0.541,-0.961
41.9,10.63,11.92,8.36,-0.675,-0.479,-0.966,10.44,11.72,8.18,-0.713,-0.548,-0.967
42.0,10.79,12.07,8.52,-0.655,-0.459,-0.929,10.43,11.71,8.17,-0.720,-0.556,-0.974
42.1,10.84,12.12,8.58,-0.649,-0.478,-0.899,10.42,11.70,8.15,-0.727,-0.564,-0.980
42.2,10.76,12.05,8.49,-0.669,-0.495,-0.925,10.41,11.69,8.15,-0.734,-0.571,-0.985
42.3,10.57,11.86,8.33,-0.709,-0.539,-0.973,10.41,11.69,8.14,-0.740,-0.578,-0.988
42.4,10.35,11.61,8.10,-0.759,-0.602,-1.012,10.41,11.70,8.14,-0.745,-0.585,-0.991
42.5,10.19,11.46,7.97,-0.797,-0.633,-1.034,10.42,11.71,8.15,-0.749,-0.592,-0.992
42.6,10.16,11.45,7.95,-0.809,-0.659,-1.025,10.43,11.72,8.16,-0.753,-0.598,-0.992
42.7,10.23,11.53,7.99,-0.798,-0.664,-1.004,10.45,11.74,8.17,-0.757,-0.604,-0.992
42.8,10.33,11.64,8.04,-0.781,-0.635,-0.994,10.47,11.76,8.19,-0.759,-0.609,-0.990
42.9,10.37,11.70,8.05,-0.772,-0.633,-1.005,10.50,11.79,8.21,-0.760,-0.613,-0.988
43.0,10.33,11.66,7.98,-0.782,-0.638,-1.020,10.54,11.83,8.24,-0.760,-0.615,-0.985
43.1,10.25,11.57,7.93,-0.806,-0.660,-1.033,10.58,11.87,8.28,-0.758,-0.616,-0.982
43.2,10.22,11.47,7.92,-0.821,-0.693,-1.054,10.63,11.92,8.32,-0.756,-0.616,-0.978
43.3,10.30,11.57,8.03,-0.819,-0.688,-1.027,10.69,11.98,8.37,-0.753,-0.614,-0.973
43.4,10.51,11.79,8.22,-0.797,-0.667,-1.001,10.75,12.04,8.43,-0.751,-0.611,-0.970
43.5,10.76,12.05,8.45,-0.768,-0.635,-0.964,10.81,12.11,8.48,-0.750,-0.609,-0.967
43.6,10.99,12.26,8.66,-0.740,-0.588,-0.929,10.87,12.17,8.53,-0.750,-0.606,-0.965
43.7,11.17,12.47,8.85,-0.708,-0.560,-0.904,10.92,12.23,8.58,-0.750,-0.604,-0.966
43.8,11.30,12.59,8.94,-0.670,-0.547,-0.887,10.97,12.29,8.61,-0.752,-0.602,-0.968
43.9,11.41,12.71,9.03,-0.629,-0.523,-0.868,11.01,12.35,8.63,-0.754,-0.600,-0.972
44.0,11.49,12.80,9.10,-0.611,-0.504,-0.868,11.04,12.40,8.64,-0.756,-0.598,-0.979
44.1,11.52,12.84,9.14,-0.634,-0.514,-0.883,11.06,12.45,8.63,-0.759,-0.596,-0.988
44.2,11.50,12.81,9.12,-0.694,-0.537,-0.921,11.07,12.49,8.62,-0.764,-0.595,-0.999
44.3,11.41,12.72,9.04,-0.778,-0.583,-0.965,11.06,12.53,8.58,-0.771,-0.596,-1.014
44.4,11.30,12.63,8.91,-0.846,-0.629,-1.006,11.04,12.55,8.52,-0.781,-0.600,-1.033
44.5,11.17,12.50,8.77,-0.878,-0.660,-1.034,11.00,12.55,8.44,-0.796,-0.606,-1.056
44.6,11.01,12.37,8.59,-0.878,-0.681,-1.060,10.94,12.54,8.35,-0.815,-0.616,-1.083
44.7,10.88,12.41,8.36,-0.851,-0.640,-1.105,10.86,12.51,8.24,-0.839,-0.630,-1.114
44.8,10.77,12.52,8.10,-0.819,-0.604,-1.139,10.78,12.47,8.13,-0.867,-0.647,-1.147
44.9,10.71,12.63,7.87,-0.800,-0.585,-1.175,10.69,12.42,8.02,-0.897,-0.666,-1.181
45.0,10.69,12.70,7.73,-0.803,-0.586,-1.195,10.61,12.37,7.92,-0.927,-0.688,-1.215
45.1,10.67,12.66,7.69,-0.826,-0.607,-1.208,10.54,12.32,7.84,-0.957,-0.710,-1.246
45.2,10.44,12.40,7.59,-0.900,-0.679,-1.244,10.49,12.29,7.77,-0.984,-0.731,-1.276
45.3,10.19,12.20,7.38,-0.982,-0.726,-1.305,10.45,12.26,7.73,-1.007,-0.752,-1.302
45.4,,,,,,,10.43,,,-1.028,,
45.5,9.70,11.96,6.70,-1.136,-0.792,-1.494,10.44,12.25,7.71,-1.046,-0.790,-1.342
45.6,9.69,11.96,6.69,-1.170,-0.809,-1.503,10.46,12.26,7.74,-1.060,-0.806,-1.356
45.7,9.74,11.83,6.85,-1.207,-0.855,-1.502,10.50,12.29,7.79,-1.073,-0.819,-1.367
45.8,9.81,11.68,7.08,-1.253,-0.927,-1.518,10.56,12.33,7.86,-1.082,-0.830,-1.373
45.9,9.96,11.64,7.37,-1.298,-0.970,-1.531,10.64,12.39,7.96,-1.089,-0.838,-1.376
46.0,10.27,11.76,7.79,-1.293,-1.031,-1.519,10.74,12.47,8.08,-1.092,-0.843,-1.375
46.1,10.66,12.10,8.22,-1.224,-0.998,-1.449,10.86,12.56,8.21,-1.092,-0.845,-1.371
46.2,11.00,12.41,8.55,-1.145,-0.965,-1.394,11.00,12.66,8.37,-1.087,-0.844,-1.365
46.3,11.23,12.70,8.75,-1.089,-0.931,-1.348,11.16,12.79,8.54,-1.078,-0.839,-1.355
46.4,11.34,12.84,8.85,-1.062,-0.904,-1.333,11.33,12.93,8.72,-1.066,-0.833,-1.344
46.5,11.49,12.96,9.00,-1.044,-0.870,-1.306,11.51,13.09,8.91,-1.053,-0.826,-1.334
46.6,11.78,13.24,9.27,-0.995,-0.818,-1.253,11.68,13.25,9.08,-1.041,-0.818,-1.324
46.7,12.16,13.62,9.61,-0.929,-0.745,-1.181,11.85,13.41,9.24,-1.029,-0.811,-1.318
46.8,12.52,14.00,9.89,-0.869,-0.669,-1.136,12.00,13.56,9.39,-1.021,-0.804,-1.314
46.9,12.73,14.27,10.05,-0.840,-0.604,-1.136,12.14,13.71,9.50,-1.014,-0.798,-1.313
47.0,12.78,14.34,10.11,-0.847,-0.584,-1.174,12.26,13.85,9.60,-1.011,-0.793,-1.316
47.1,12.75,14.32,10.07,-0.880,-0.611,-1.236,12.35,13.97,9.66,-1.012,-0.790,-1.324
47.2,12.72,14.29,10.04,-0.927,-0.693,-1.294,12.42,14.08,9.70,-1.016,-0.789,-1.335
47.3,12.74,14.27,10.06,-0.984,-0.796,-1.328,12.42,14.12,9.67,-1.033,-0.798,-1.359
47.4,12.78,14.32,10.13,-1.031,-0.856,-1.350,12.42,14.16,9.64,-1.049,-0.808,-1.382
47.5,12.84,14.43,10.17,-1.066,-0.875,-1.386,12.44,14.22,9.64,-1.061,-0.813,-1.401
47.6,12.90,14.63,10.08,-1.090,-0.852,-1.428,12.45,14.27,9.62,-1.075,-0.821,-1.423
47.7,12.86,14.80,9.87,-1.116,-0.820,-1.479,12.46,14.32,9.59,-1.091,-0.831,-1.445
47.8,12.71,14.75,9.69,-1.131,-0.846,-1.485,12.46,14.36,9.57,-1.106,-0.840,-1.465
47.9,12.52,14.61,9.49,-1.159,-0.877,-1.519,12.47,14.40,9.54,-1.118,-0.848,-1.481
48.0,12.27,14.37,9.30,-1.196,-0.907,-1.538,12.48,14.45,9.53,-1.128,-0.853,-1.492
48.1,12.07,14.17,9.06,-1.221,-0.923,-1.586,12.49,14.49,9.51,-1.137,-0.859,-1.502
48.2,11.96,14.10,8.94,-1.227,-0.905,-1.611,12.50,14.53,9.50,-1.147,-0.865,-1.511
48.3,11.90,14.05,8.87,-1.224,-0.908,-1.652,12.49,14.55,9.47,-1.158,-0.873,-1.521
48.4,11.89,14.03,8.87,-1.231,-0.941,-1.659,12.48,14.56,9.44,-1.170,-0.881,-1.530
48.5,12.00,14.15,9.00,-1.232,-0.950,-1.632,12.46,14.56,9.41,-1.181,-0.890,-1.539
