Age,SLice,SLice max,SLice min,Temperature,Temperature max,Temperature min,SLice (long),SLice max (long),SLice min (long),Temperature (long),Temperature max (long),Temperature min (long)
39.9,42.13,42.13,40.82,8.66,9.99,6.76,45.49,50.12,42.47,8.64,9.97,6.74
40.0,41.49,41.49,39.30,8.76,10.09,6.85,45.62,49.63,42.89,8.68,10.00,6.77
40.1,41.13,41.13,38.20,8.89,10.23,6.98,45.66,49.10,43.06,8.72,10.04,6.80
40.2,41.46,41.46,38.12,9.00,10.34,7.08,45.58,48.51,42.95,8.76,10.08,6.83
40.3,42.97,42.97,39.79,9.00,10.34,7.08,45.41,47.88,42.59,8.81,10.13,6.87
40.4,45.91,45.91,43.58,8.89,10.23,6.96,45.15,47.20,42.00,8.86,10.18,6.91
40.5,49.73,49.73,48.70,8.72,10.07,6.79,44.82,46.50,41.20,8.91,10.24,6.96
40.6,53.28,53.41,53.28,8.59,9.94,6.66,44.45,45.79,40.26,8.97,10.29,7.01
40.7,55.72,56.44,55.72,8.54,9.90,6.60,44.06,45.10,39.23,9.02,10.35,7.06
40.8,56.82,57.47,56.82,8.54,9.90,6.60,43.68,44.45,38.16,9.08,10.41,7.11
40.9,56.86,56.92,56.86,8.56,9.92,6.61,43.31,43.85,37.10,9.13,10.47,7.16
41.0,56.21,56.21,55.37,8.58,9.94,6.63,42.99,43.33,36.10,9.18,10.53,7.21
41.1,54.84,54.84,52.74,8.62,9.99,6.67,42.72,42.89,35.18,9.22,10.58,7.25
41.2,52.33,52.33,48.44,8.73,10.10,6.77,42.51,42.54,34.36,9.26,10.63,7.30
41.3,48.39,48.39,42.03,8.94,10.32,6.97,42.37,42.27,33.65,9.30,10.69,7.34
41.4,43.25,43.25,33.84,9.23,10.61,7.26,42.29,42.08,33.05,9.34,10.73,7.38
41.5,37.64,37.64,25.00,9.55,10.93,7.57,42.28,41.96,32.55,9.37,10.78,7.42
41.6,32.58,32.58,17.03,9.83,11.22,7.85,42.34,41.90,32.15,9.40,10.82,7.45
41.7,28.84,28.84,11.08,10.04,11.43,8.05,42.45,41.89,31.85,9.43,10.85,7.48
41.8,26.58,26.58,7.40,10.19,11.59,8.20,42.61,41.94,31.65,9.45,10.89,7.50
41.9,25.49,25.49,5.51,10.34,11.74,8.35,42.81,42.04,31.55,9.47,10.92,7.52
42.0,25.24,25.24,4.95,10.42,11.82,8.42,43.04,42.19,31.55,9.49,10.94,7.54
42.1,25.90,25.90,5.79,10.41,11.81,8.40,43.28,42.39,31.65,9.51,10.97,7.56
42.2,27.67,27.67,8.34,10.32,11.73,8.31,43.53,42.63,31.84,9.52,10.99,7.57
42.3,30.68,30.68,12.80,10.17,11.58,8.16,43.77,42.92,32.11,9.54,11.00,7.58
42.4,34.68,34.68,18.76,9.98,11.39,7.96,44.01,43.25,32.47,9.55,11.01,7.58
42.5,38.93,38.93,25.15,9.78,11.20,7.76,44.24,43.62,32.90,9.56,11.02,7.58
42.6,42.82,42.82,31.01,9.60,11.02,7.57,44.46,44.02,33.40,9.57,11.02,7.57
42.7,45.94,45.94,35.74,9.46,10.88,7.42,44.69,44.45,33.97,9.59,11.02,7.56
42.8,48.07,48.07,39.01,9.36,10.79,7.32,44.93,44.91,34.59,9.60,11.02,7.56
42.9,49.37,49.37,41.04,9.29,10.72,7.25,45.19,45.39,35.27,9.62,11.02,7.55
43.0,50.08,50.08,42.20,9.26,10.69,7.21,45.48,45.88,35.98,9.63,11.03,7.55
43.1,50.41,50.41,42.79,9.27,10.71,7.22,45.80,46.38,36.72,9.65,11.04,7.55
43.2,50.76,50.76,43.42,9.30,10.74,7.24,46.15,46.88,37.47,9.66,11.05,7.55
43.3,51.89,51.89,45.22,9.31,10.75,7.25,46.51,47.37,38.22,9.68,11.06,7.56
43.4,54.45,54.45,49.15,9.28,10.73,7.22,46.88,47.83,38.93,9.69,11.08,7.57
43.5,58.57,58.57,55.44,9.18,10.63,7.11,47.25,48.25,39.59,9.70,11.10,7.58
43.6,63.38,63.38,62.73,9.03,10.48,6.95,47.59,48.62,40.18,9.72,11.12,7.59
43.7,66.88,68.06,66.88,8.87,10.33,6.79,47.88,48.91,40.65,9.74,11.15,7.61
43.8,67.38,68.87,67.38,8.78,10.24,6.70,48.12,49.11,41.00,9.77,11.18,7.64
43.9,64.44,64.53,64.44,8.86,10.32,6.77,48.27,49.22,41.21,9.80,11.22,7.67
44.0,58.97,58.97,56.36,9.14,10.61,7.04,48.35,49.22,41.25,9.83,11.27,7.71
44.1,52.67,52.67,46.94,9.60,11.07,7.50,48.34,49.12,41.14,9.88,11.32,7.75
44.2,46.98,46.98,38.43,10.17,11.64,8.07,48.24,48.91,40.87,9.94,11.38,7.80
44.3,42.57,42.57,31.84,10.71,12.19,8.60,48.06,48.61,40.45,10.00,11.45,7.86
44.4,39.60,39.60,27.40,11.08,12.56,8.97,47.82,48.22,39.91,10.07,11.53,7.93
44.5,37.99,37.99,24.98,11.19,12.67,9.07,47.52,47.77,39.27,10.16,11.61,8.01
44.6,37.63,37.63,24.44,11.05,12.54,8.93,47.19,47.27,38.57,10.24,11.71,8.10
44.7,38.42,38.42,25.63,10.75,12.24,8.62,46.84,46.76,37.83,10.33,11.81,8.19
