Species,T,d18Osw_VSMOW,d18Oc,Ref,Type
Globorotalia truncatulinoides (s.) [coarse],16.45,0.19,0.37,Lončarić et al. (2006),planktic
Globigerinoides trilobus [fine],14.12,0.02,-1.21,Lončarić et al. (2006),planktic
Globorotalia inflata [fine],14.12,0.02,0.03,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [fine],14.12,0.02,0.22,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [coarse],14.12,0.02,0.28,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [fine],12.55,-0.08,0.09,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [coarse],12.55,-0.08,0.46,Lončarić et al. (2006),planktic
Cibicidoides pachyderma,8.5,0.31,1.68,Marchitto et al. (2014),benthic
Planulina ariminensis,8.5,0.31,1.68,Marchitto et al. (2014),benthic
Uvigerina peregrina,8.5,0.31,2.18,Marchitto et al. (2014),benthic
Hoeglundina elegans,8.5,0.31,2.71,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,5.8,0.26,2.27,Marchitto et al. (2014),benthic
Uvigerina peregrina,5.8,0.26,2.49,Marchitto et al. (2014),benthic
Hoeglundina elegans,5.8,0.26,3.11,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,9.7,0.39,1.65,Marchitto et al. (2014),benthic
Planulina ariminensis,9.7,0.39,1.41,Marchitto et al. (2014),benthic
Uvigerina peregrina,9.7,0.39,1.87,Marchitto et al. (2014),benthic
Hoeglundina elegans,9.7,0.39,2.63,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,10.8,0.47,1.17,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,12.7,0.62,1.11,Marchitto et al. (2014),benthic
Planulina foveolata,12.7,0.62,0.57,Marchitto et al. (2014),benthic
Hoeglundina elegans,12.7,0.62,2.03,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,9.0,0.35,1.58,Marchitto et al. (2014),benthic
Uvigerina peregrina,9.0,0.35,2.03,Marchitto et al. (2014),benthic
Hoeglundina elegans,9.0,0.35,2.63,Marchitto et al. (2014),benthic
Uvigerina peregrina,7.8,0.28,2.24,Marchitto et al. (2014),benthic
Hoeglundina elegans,7.8,0.28,2.89,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,6.3,0.26,2.05,Marchitto et al. (2014),benthic
Uvigerina peregrina,6.3,0.26,2.43,Marchitto et al. (2014),benthic
Hoeglundina elegans,6.3,0.26,3.14,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,12.1,0.57,1.22,Marchitto et al. (2014),benthic
Planulina ariminensis,12.1,0.57,0.94,Marchitto et al. (2014),benthic
Hoeglundina elegans,12.1,0.57,2.12,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,10.0,0.41,1.44,Marchitto et al. (2014),benthic
Planulina ariminensis,10.0,0.41,1.49,Marchitto et al. (2014),benthic
Uvigerina peregrina,10.0,0.41,1.96,Marchitto et al. (2014),benthic
Hoeglundina elegans,10.0,0.41,2.39,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,9.1,0.36,1.76,Marchitto et al. (2014),benthic
Planulina ariminensis,9.1,0.36,1.63,Marchitto et al. (2014),benthic
Uvigerina peregrina,9.1,0.36,1.91,Marchitto et al. (2014),benthic
Hoeglundina elegans,9.1,0.36,2.39,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,7.0,0.26,1.73,Marchitto et al. (2014),benthic
Planulina ariminensis,7.0,0.26,1.70,Marchitto et al. (2014),benthic
Uvigerina peregrina,7.0,0.26,2.39,Marchitto et al. (2014),benthic
Hoeglundina elegans,7.0,0.26,2.94,Marchitto et al. (2014),benthic
Hoeglundina elegans,19.0,1.16,1.15,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,16.6,0.96,0.41,Marchitto et al. (2014),benthic
Planulina foveolata,16.6,0.96,0.50,Marchitto et al. (2014),benthic
Hoeglundina elegans,16.6,0.96,1.53,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,10.8,0.47,1.12,Marchitto et al. (2014),benthic
Planulina foveolata,10.8,0.47,1.14,Marchitto et al. (2014),benthic
Uvigerina peregrina,10.8,0.47,1.56,Marchitto et al. (2014),benthic
Hoeglundina elegans,10.8,0.47,2.05,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,11.0,0.56,1.21,Marchitto et al. (2014),benthic
Planulina ariminensis,11.0,0.56,1.16,Marchitto et al. (2014),benthic
Planulina foveolata,11.0,0.56,1.14,Marchitto et al. (2014),benthic
Uvigerina peregrina,11.0,0.56,1.66,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,12.1,0.57,0.98,Marchitto et al. (2014),benthic
Planulina foveolata,12.1,0.57,1.00,Marchitto et al. (2014),benthic
Uvigerina peregrina,12.1,0.57,1.38,Marchitto et al. (2014),benthic
Hoeglundina elegans,12.1,0.57,1.86,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,17.8,1.08,0.37,Marchitto et al. (2014),benthic
Planulina foveolata,17.8,1.08,0.37,Marchitto et al. (2014),benthic
Uvigerina peregrina,15.7,0.89,1.09,Marchitto et al. (2014),benthic
Hoeglundina elegans,15.7,0.89,1.72,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,18.5,1.17,0.18,Marchitto et al. (2014),benthic
Hoeglundina elegans,18.5,1.17,1.06,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,18.6,1.13,0.06,Marchitto et al. (2014),benthic
Hoeglundina elegans,18.6,1.13,1.24,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,8.5,0.34,1.84,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,9.3,0.38,1.60,Marchitto et al. (2014),benthic
Planulina ariminensis,9.3,0.38,1.65,Marchitto et al. (2014),benthic
Uvigerina peregrina,9.3,0.38,1.81,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,17.3,1.03,0.43,Marchitto et al. (2014),benthic
Planulina foveolata,17.3,1.03,0.32,Marchitto et al. (2014),benthic
