Sample,Species,Type,Site,Lat,Lon,Depth,d13C_VPDB,SE_d13C_VPDB,d18O_VPDB,SE_d18O_VPDB,D47_ICDES,SE_D47_ICDES,Tpub,SE_Tpub,Twoa23,SE_Twoa23,Twoa23_500m,SE_Twoa23_500m,Tbottom_woa23,SE_Tbottom_woa23,Tk18,SE_Tk18,Tk18_500m,SE_Tk18_500m,Tiso_species_offset,Tiso_species,SE_Tiso_species,Tiso_species_500m,SE_Tiso_species_500m,Tiso_KON97,SE_Tiso_KON97,Tiso_Mulitza03,SE_Tiso_Mulitza03,Twoa23_vs_Tiso_species,Twoa23_500m_vs_Tiso_species_500m,Ref
0053,Globigerina bulloides,planktic,,47.67,-20.81,(0-300),,,0.770,0.100,,,,,12.69,1.12,12.03,1.19,,,10.93,1.73,10.93,1.73,Globigerina bulloides,12.17,0.69,12.17,0.65,13.53,0.68,11.97,0.63,,,Waelbroeck et al (2005)
0054,Globigerina bulloides,planktic,,53.06,-20.80,(0-300),,,1.220,0.100,,,,,10.68,1.06,10.04,1.19,,,10.32,1.30,10.32,1.30,Globigerina bulloides,9.40,0.70,9.58,0.71,10.74,0.70,9.37,0.65,,,Waelbroeck et al (2005)
0055,Globigerina bulloides,planktic,,58.50,-20.49,(0-300),,,1.850,0.100,,,,,9.33,0.75,9.03,0.72,,,9.17,1.19,9.17,1.19,Globigerina bulloides,6.34,0.69,6.51,0.69,7.65,0.68,6.49,0.64,discordant,discordant,Waelbroeck et al (2005)
0056,Globigerina bulloides,planktic,,31.31,-30.48,(0-300),,,0.900,0.100,,,,,18.73,1.99,17.35,2.58,,,17.52,2.61,17.52,2.61,Globigerina bulloides,13.21,0.69,12.94,0.76,14.59,0.68,12.95,0.63,discordant,,Waelbroeck et al (2005)
0057,Globigerina bulloides,planktic,,33.75,-32.16,(0-300),,,1.300,0.100,,,,,18.13,2.08,16.68,2.61,,,17.34,2.37,17.34,2.37,Globigerina bulloides,11.41,0.65,11.18,0.71,12.76,0.64,11.25,0.60,discordant,,Waelbroeck et al (2005)
0058,Globigerina bulloides,planktic,,33.85,-30.09,(0-300),,,1.070,0.100,,,,,17.76,2.09,16.17,2.63,,,16.92,2.52,16.92,2.52,Globigerina bulloides,12.31,0.65,12.08,0.72,13.67,0.64,12.10,0.60,discordant,,Waelbroeck et al (2005)
0059,Globigerina bulloides,planktic,,68.23,12.47,(0-300),,,1.820,0.100,,,,,7.58,1.46,7.58,1.46,,,6.02,1.47,6.02,1.47,Globigerina bulloides,7.17,0.63,7.08,0.63,8.48,0.62,7.26,0.58,,,Waelbroeck et al (2005)
0060,Globigerina bulloides,planktic,,22.48,-17.15,(0-300),,,-0.170,0.100,,,,,18.78,0.97,18.78,0.97,,,17.32,2.39,17.32,2.39,Globigerina bulloides,18.07,0.75,17.69,0.86,19.49,0.74,17.50,0.69,,,Waelbroeck et al (2005)
0061,Globigerina bulloides,planktic,,68.19,12.30,(0-300),,,1.380,0.100,,,,,7.45,1.36,7.45,1.36,,,6.02,1.47,6.02,1.47,Globigerina bulloides,9.09,0.64,9.00,0.64,10.43,0.63,9.08,0.59,,,Waelbroeck et al (2005)
0062,Globigerina bulloides,planktic,,36.50,24.33,(0-300),,,1.450,0.100,,,,,16.61,2.28,16.61,2.28,,,16.61,1.94,16.61,1.94,Globigerina bulloides,13.99,0.69,14.03,0.69,15.37,0.69,13.67,0.64,,,Waelbroeck et al (2005)
0063,Globigerina bulloides,planktic,,-17.16,11.01,(0-300),,,0.043,0.100,,,,,13.58,2.46,11.80,3.02,,,14.64,3.34,14.64,3.34,Globigerina bulloides,15.08,0.84,14.71,0.92,16.47,0.84,14.69,0.78,,,Waelbroeck et al (2005)
0064,Globigerina bulloides,planktic,,-6.58,10.32,(0-300),,,-1.300,0.100,,,,,16.13,3.83,13.30,4.58,,,16.12,4.38,16.12,4.38,Globigerina bulloides,21.31,0.77,21.02,0.80,22.76,0.76,20.53,0.70,,,Waelbroeck et al (2005)
0065,Globigerina bulloides,planktic,,-56.00,-115.00,(0-300),,,2.280,0.100,,,,,5.18,0.71,4.83,0.70,,,5.20,1.08,5.20,1.08,Globigerina bulloides,2.54,0.64,2.67,0.64,3.81,0.63,2.91,0.59,discordant,,Waelbroeck et al (2005)
