Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
1146,Globigerinoides ruber white,,-5.94,103.25,(0-120),26.63,3.04,
1147,Globigerinoides ruber white,,-5.87,103.29,(0-120),26.56,3.14,
1148,Globigerinoides ruber white,,-5.48,103.01,(0-120),26.94,2.96,
1149,Globigerinoides ruber white,,41.28,17.62,(0-120),15.30,2.52,
1150,Globigerinoides ruber white,,10.76,51.95,(0-120),23.40,3.15,
1151,Globigerinoides ruber white,,5.45,-21.14,(0-120),22.89,5.09,
1152,Globigerinoides ruber white,,41.83,17.84,(0-120),15.38,2.42,
1153,Globigerinoides ruber white,,41.98,4.71,(0-120),14.47,2.33,
1154,Globigerinoides ruber white,,42.04,4.15,(0-120),14.61,2.39,
1155,Globigerinoides ruber white,,9.32,141.05,(0-120),27.57,2.07,
1156,Globigerinoides ruber white,,0.32,159.36,(0-120),28.59,1.36,
1157,Globigerinoides ruber white,,42.68,3.85,(0-120),15.47,2.54,
1158,Globigerinoides ruber white,,40.55,13.35,(0-120),16.32,3.00,
1159,Globigerinoides ruber white,,23.47,59.19,(0-120),22.95,2.49,
1160,Globigerinoides ruber white,,40.57,-30.94,(0-120),17.00,1.89,
1161,Globigerinoides ruber white,,40.08,-32.00,(0-120),17.42,1.84,
1162,Globigerinoides ruber white,,41.00,-32.00,(0-120),17.13,1.74,
1163,Globigerinoides ruber white,,42.00,-32.07,(0-120),16.77,1.65,
1164,Globigerinoides ruber white,,42.08,-32.58,(0-120),16.68,1.74,
1165,Globigerinoides ruber white,,43.08,-30.58,(0-120),16.29,1.74,
1166,Globigerinoides ruber white,,38.82,14.49,(0-120),16.91,3.32,
1167,Globigerinoides ruber white,,39.69,13.58,(0-120),16.45,3.27,
1168,Globigerinoides ruber white,,40.58,11.71,(0-120),15.90,3.06,
1170,Globigerinoides ruber white,,21.34,158.17,(0-120),25.97,1.75,
1171,Globigerinoides ruber white,,40.36,11.81,(0-120),16.00,3.09,
1172,Globigerinoides ruber white,,38.41,13.17,(0-120),16.50,3.13,
1173,Globigerinoides ruber white,,39.06,15.40,(0-120),16.68,2.97,
1174,Globigerinoides ruber white,,37.32,3.57,(0-120),16.49,2.96,
1175,Globigerinoides ruber white,,37.32,3.57,(0-120),16.49,2.96,
1176,Globigerinoides ruber white,,41.52,17.98,(0-120),15.43,2.52,
1177,Globigerinoides ruber white,,39.95,1.56,(0-120),15.16,3.12,
1178,Globigerinoides ruber white,,-5.20,11.33,(0-120),19.81,3.26,
1179,Globigerinoides ruber white,,-13.09,121.35,(0-120),27.02,1.96,
1180,Globigerinoides ruber white,,-4.97,61.67,(0-120),23.54,4.64,
1181,Globigerinoides ruber white,,8.35,75.20,(0-120),25.21,3.81,
1182,Globigerinoides ruber white,,6.24,78.40,(0-120),25.27,3.36,
1183,Globigerinoides ruber white,,12.33,73.84,(0-120),25.50,3.85,
1184,Globigerinoides ruber white,,13.08,73.19,(0-120),25.64,3.60,
1185,Globigerinoides ruber white,,14.27,50.31,(0-120),22.87,3.58,
1186,Globigerinoides ruber white,,12.52,46.49,(0-120),23.62,4.03,
1187,Globigerinoides ruber white,,10.21,95.05,(0-120),26.17,2.76,
1188,Globigerinoides ruber white,,11.76,94.15,(0-120),26.17,3.00,
1189,Globigerinoides ruber white,,7.30,76.43,(0-120),25.39,3.49,
1190,Globigerinoides ruber white,,10.47,75.23,(0-120),25.34,3.72,
1191,Globigerinoides ruber white,,16.33,67.54,(0-120),25.77,2.37,
1192,Globigerinoides ruber white,,18.47,89.42,(0-120),25.67,2.86,
1193,Globigerinoides ruber white,,-19.58,37.04,(0-120),24.26,2.43,
