Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
0184,Globigerina bulloides,,1.45,98.05,(0-500),29.20,0.92,
0185,Globigerina bulloides,,44.00,-20.02,(0-500),12.78,1.33,
0187,Globigerina bulloides,,0.95,98.13,(0-500),29.29,1.10,
0188,Globigerina bulloides,,-1.62,100.00,(0-500),16.00,7.44,
0189,Globigerina bulloides,,-1.56,99.95,(0-500),16.00,7.42,
0190,Globigerina bulloides,,-1.50,100.13,(0-500),28.83,1.83,
0191,Globigerina bulloides,,-1.46,100.23,(0-500),28.70,2.33,
0192,Globigerina bulloides,,-1.30,99.72,(0-500),15.95,7.40,
0193,Globigerina bulloides,,-1.18,97.98,(0-500),15.83,7.04,
0194,Globigerina bulloides,,-0.95,98.26,(0-500),15.67,6.90,
0195,Globigerina bulloides,,-0.94,99.52,(0-500),15.84,7.31,
0196,Globigerina bulloides,,-0.87,99.80,(0-500),25.41,5.29,
0197,Globigerina bulloides,,-0.81,99.65,(0-500),24.70,5.62,
0199,Globigerina bulloides,,-0.77,99.27,(0-500),15.99,7.35,
0200,Globigerina bulloides,,-0.70,99.76,(0-500),25.05,5.45,
0202,Globigerina bulloides,,-0.67,99.12,(0-500),29.02,1.37,
0203,Globigerina bulloides,,-0.50,98.85,(0-500),29.31,1.02,
0204,Globigerina bulloides,,0.34,98.13,(0-500),29.37,0.99,
0206,Globigerina bulloides,,-1.67,99.68,(0-500),15.73,7.26,
0207,Globigerina bulloides,,45.00,-24.66,(0-500),12.90,1.41,
0208,Globigerina bulloides,,40.33,13.21,(0-500),14.80,1.81,
0209,Globigerina bulloides,,38.49,14.30,(0-500),15.18,2.27,
0210,Globigerina bulloides,,39.41,13.34,(0-500),15.04,2.15,
0211,Globigerina bulloides,,40.35,11.43,(0-500),14.52,1.45,
0212,Globigerina bulloides,,42.04,4.15,(0-500),13.52,1.20,
0213,Globigerina bulloides,,34.91,-7.58,(0-500),14.45,2.46,
0215,Globigerina bulloides,,-4.16,101.64,(0-500),16.07,7.45,
0216,Globigerina bulloides,,53.40,-27.48,(0-500),7.47,1.74,
0217,Globigerina bulloides,,62.09,-17.82,(0-500),8.36,0.67,
0218,Globigerina bulloides,,-45.53,174.93,(0-500),7.88,1.51,discordant
0219,Globigerina bulloides,,-43.52,79.87,(0-500),10.61,1.16,
