Sample,Ref,d18Osw,sd18Osw,T,sT
0260,Mohtadi et al. (2011),0.15,0.11,20.02,6.16
0261,Mohtadi et al. (2011),0.13,0.11,19.40,6.53
0262,Mohtadi et al. (2011),0.13,0.11,19.09,6.62
0263,Mohtadi et al. (2011),0.13,0.11,19.09,6.62
0264,Mohtadi et al. (2011),0.13,0.11,19.09,6.62
0265,Mohtadi et al. (2011),0.13,0.11,19.09,6.62
0266,Mohtadi et al. (2011),0.11,0.12,18.54,6.24
0267,Mohtadi et al. (2011),0.16,0.11,18.62,6.27
0268,Mohtadi et al. (2011),0.16,0.11,18.59,6.22
0269,Mohtadi et al. (2011),0.16,0.11,18.59,6.22
0270,Mohtadi et al. (2011),0.16,0.11,18.59,6.22
0271,Mohtadi et al. (2011),0.16,0.11,18.59,6.22
0272,Mohtadi et al. (2011),0.16,0.11,18.59,6.22
0273,Mohtadi et al. (2011),0.21,0.11,19.25,6.21
0274,Mohtadi et al. (2011),0.21,0.11,19.25,6.21
0275,Mohtadi et al. (2011),0.17,0.11,20.30,5.93
0276,Vazquez Riverios et al 2016,0.16,0.10,11.03,1.11
0277,Mohtadi et al. (2011),0.17,0.11,20.37,5.83
0278,Cleroux et al 2008,0.74,0.10,14.54,1.54
0279,Vazquez Riverios et al 2016,0.04,0.11,9.02,1.06
0280,Vazquez Riverios et al 2016,-0.23,0.13,5.69,1.17
0281,Vazquez Riverios et al 2016,0.06,0.10,9.46,1.08
0282,Vazquez Riverios et al 2016,-0.19,0.10,4.80,1.49
0283,Vazquez Riverios et al 2016,-0.03,0.13,8.13,1.15
0284,Vazquez Riverios et al 2016,-0.32,0.12,3.31,1.12
0285,Vazquez Riverios et al 2016,-0.32,0.12,3.31,1.12
0286,Vazquez Riverios et al 2016,-0.20,0.10,2.83,1.23
0287,Vazquez Riverios et al 2016,-0.22,0.12,0.31,1.26
0288,Cleroux et al 2008,0.61,0.11,10.82,1.82
0289,Cleroux et al 2008,0.27,0.12,9.83,1.24
0290,Cleroux et al 2008,0.34,0.12,10.06,1.27
0291,Cleroux et al 2008,0.35,0.11,9.79,1.25
0292,Cleroux et al 2008,0.35,0.10,8.83,1.28
0293,Cleroux et al 2008,0.18,0.14,7.87,1.59
0294,Cleroux et al 2008,0.17,0.14,7.31,1.76
0295,Cleroux et al 2008,0.69,0.10,13.69,1.55
0296,Cleroux et al 2008,0.74,0.10,14.49,1.84
0297,Waelbroeck et al (2005),0.82,0.11,16.14,2.33
0298,Waelbroeck et al (2005),0.84,0.11,17.11,2.17
0299,Waelbroeck et al (2005),0.40,0.10,5.87,1.42
0300,Waelbroeck et al (2005),-0.19,0.10,5.23,1.69
0301,Waelbroeck et al (2005),-0.19,0.10,5.23,1.69
0302,Waelbroeck et al (2005),-0.19,0.10,5.23,1.69
0303,Waelbroeck et al (2005),-0.19,0.10,5.23,1.69
0304,Waelbroeck et al (2005),-0.28,0.13,3.01,1.13
0305,Waelbroeck et al (2005),-0.28,0.13,3.01,1.13
0306,Waelbroeck et al (2005),-0.28,0.13,3.01,1.13
0307,Waelbroeck et al (2005),-0.28,0.13,3.01,1.13
0308,Waelbroeck et al (2005),-0.25,0.13,4.74,1.23
0309,Waelbroeck et al (2005),-0.25,0.13,4.74,1.23
0310,Waelbroeck et al (2005),-0.25,0.13,4.74,1.23
0311,Waelbroeck et al (2005),-0.25,0.13,4.74,1.23
0312,Waelbroeck et al (2005),-0.23,0.13,5.66,1.29
0313,Waelbroeck et al (2005),-0.23,0.13,5.66,1.29
0314,Waelbroeck et al (2005),-0.23,0.13,5.66,1.29
0315,Waelbroeck et al (2005),-0.17,0.13,6.73,1.29
0316,Waelbroeck et al (2005),-0.17,0.13,6.73,1.29
0317,Waelbroeck et al (2005),-0.19,0.10,5.23,1.69
0318,Waelbroeck et al (2005),-0.17,0.13,6.73,1.29
0319,Waelbroeck et al (2005),-0.20,0.10,2.24,1.13
0320,Waelbroeck et al (2005),-0.20,0.10,3.93,1.12
0321,Waelbroeck et al (2005),-0.21,0.10,5.45,1.16
0322,Waelbroeck et al (2005),-0.21,0.10,5.45,1.16
0323,Waelbroeck et al (2005),-0.21,0.10,5.45,1.16
0324,Waelbroeck et al (2005),-0.21,0.10,5.45,1.16
0325,Waelbroeck et al (2005),-0.21,0.10,5.45,1.16
0326,Waelbroeck et al (2005),-0.20,0.10,5.21,1.12
0327,Waelbroeck et al (2005),-0.20,0.10,5.21,1.12
0328,Waelbroeck et al (2005),-0.20,0.10,5.21,1.12
0329,Waelbroeck et al (2005),-0.20,0.10,5.21,1.12
0330,Waelbroeck et al (2005),-0.20,0.10,5.21,1.12
0331,Waelbroeck et al (2005),-0.20,0.10,4.95,1.12
0332,Waelbroeck et al (2005),-0.20,0.10,4.95,1.12
0333,Waelbroeck et al (2005),-0.20,0.10,4.95,1.12
0334,Waelbroeck et al (2005),-0.20,0.10,4.95,1.12
0335,Waelbroeck et al (2005),-0.20,0.10,4.95,1.12
0336,Waelbroeck et al (2005),-0.20,0.10,4.95,1.12
0337,Waelbroeck et al (2005),-0.20,0.10,4.95,1.12
0338,Waelbroeck et al (2005),-0.20,0.10,3.93,1.12
0339,Waelbroeck et al (2005),-0.21,0.10,5.45,1.16
0340,Waelbroeck et al (2005),-0.17,0.13,6.73,1.29
0341,Waelbroeck et al (2005),-0.11,0.13,7.77,1.32
0342,Waelbroeck et al (2005),0.04,0.12,10.08,1.34
0343,Waelbroeck et al (2005),0.04,0.12,10.08,1.34
0344,Waelbroeck et al (2005),0.04,0.12,10.08,1.34
0345,Waelbroeck et al (2005),0.04,0.12,10.08,1.34
0346,Waelbroeck et al (2005),-0.28,0.14,3.72,1.18
0347,Waelbroeck et al (2005),-0.28,0.14,3.72,1.18
0348,Waelbroeck et al (2005),-0.28,0.14,3.72,1.18
0349,Waelbroeck et al (2005),-0.28,0.14,3.72,1.18
0350,Waelbroeck et al (2005),-0.28,0.14,3.72,1.18
0351,Waelbroeck et al (2005),-0.27,0.13,2.31,1.13
0352,Waelbroeck et al (2005),-0.27,0.13,2.31,1.13
0353,Waelbroeck et al (2005),-0.27,0.13,1.71,1.13
0354,Waelbroeck et al (2005),-0.27,0.13,1.71,1.13
0355,Waelbroeck et al (2005),-0.27,0.13,1.71,1.13
0356,Waelbroeck et al (2005),-0.28,0.13,3.19,1.12
0357,Waelbroeck et al (2005),-0.28,0.13,3.19,1.12
0358,Waelbroeck et al (2005),-0.28,0.13,3.19,1.12
0359,Waelbroeck et al (2005),0.04,0.12,10.08,1.34
0360,Waelbroeck et al (2005),-0.11,0.13,7.77,1.32
0361,Waelbroeck et al (2005),0.42,0.16,14.78,3.34
0362,Waelbroeck et al (2005),0.42,0.16,14.78,3.34
0363,Waelbroeck et al (2005),-0.11,0.13,7.77,1.32
0364,Waelbroeck et al (2005),-0.11,0.13,7.77,1.32
0365,Waelbroeck et al (2005),-0.11,0.13,7.77,1.32
0366,Waelbroeck et al (2005),-0.11,0.13,7.77,1.32
0367,Waelbroeck et al (2005),-0.11,0.13,7.77,1.32
0368,Waelbroeck et al (2005),-0.02,0.13,9.34,1.29
0369,Waelbroeck et al (2005),0.34,0.12,14.78,2.18
0370,Waelbroeck et al (2005),0.34,0.12,14.78,2.18
0371,Waelbroeck et al (2005),0.34,0.13,14.08,2.56
0372,Waelbroeck et al (2005),0.34,0.13,14.08,2.56
0373,Waelbroeck et al (2005),0.34,0.13,14.08,2.56
0374,Waelbroeck et al (2005),0.34,0.13,14.08,2.56
0375,Waelbroeck et al (2005),0.34,0.13,14.08,2.56
0376,Waelbroeck et al (2005),0.33,0.13,13.47,2.78
0377,Waelbroeck et al (2005),0.33,0.13,13.47,2.78
0378,Waelbroeck et al (2005),0.33,0.13,13.47,2.78
0379,Waelbroeck et al (2005),0.42,0.16,14.78,3.34
0380,Waelbroeck et al (2005),0.42,0.16,14.78,3.34
0381,Waelbroeck et al (2005),-0.28,0.13,3.19,1.12
0382,Waelbroeck et al (2005),-0.21,0.10,5.45,1.16
0383,Waelbroeck et al (2005),-0.21,0.10,5.45,1.16
0384,Waelbroeck et al (2005),0.25,0.13,8.72,1.18
0385,Waelbroeck et al (2005),0.87,0.11,15.09,2.23
0386,Waelbroeck et al (2005),1.47,0.14,15.70,1.84
0387,Waelbroeck et al (2005),0.07,0.11,11.60,1.61
0388,Waelbroeck et al (2005),0.35,0.10,7.48,1.25
0389,Waelbroeck et al (2005),0.35,0.10,15.22,1.63
0390,Waelbroeck et al (2005),0.35,0.10,15.22,1.63
0391,Waelbroeck et al (2005),0.35,0.10,15.22,1.63
0392,Waelbroeck et al (2005),0.35,0.10,15.22,1.63
0393,Waelbroeck et al (2005),-0.21,0.12,5.44,1.47
0394,Waelbroeck et al (2005),-0.21,0.12,5.44,1.47
0395,Waelbroeck et al (2005),-0.21,0.12,5.44,1.47
0396,Waelbroeck et al (2005),0.08,0.11,10.23,1.48
0397,Waelbroeck et al (2005),0.08,0.11,10.23,1.48
0398,Waelbroeck et al (2005),0.08,0.11,10.23,1.48
0399,Waelbroeck et al (2005),0.08,0.11,10.23,1.48
0400,Waelbroeck et al (2005),0.07,0.12,10.19,1.45
0401,Waelbroeck et al (2005),0.88,0.11,14.82,2.17
0402,Waelbroeck et al (2005),0.07,0.12,10.19,1.45
0403,Waelbroeck et al (2005),1.31,0.15,14.12,2.66
0404,Waelbroeck et al (2005),0.85,0.11,15.01,2.14
0405,Waelbroeck et al (2005),0.87,0.11,15.09,2.23
0406,Waelbroeck et al (2005),0.35,0.11,9.79,1.25
0407,Waelbroeck et al (2005),-0.04,0.10,8.79,1.41
0408,Waelbroeck et al (2005),0.22,0.13,8.82,1.21
0409,Waelbroeck et al (2005),1.47,0.14,15.70,1.84
0410,Waelbroeck et al (2005),0.82,0.11,16.47,2.21
0411,Waelbroeck et al (2005),0.82,0.11,16.37,2.24
0412,Waelbroeck et al (2005),0.16,0.14,6.90,1.80
0413,Waelbroeck et al (2005),0.34,0.12,10.06,1.27
0414,Waelbroeck et al (2005),0.59,0.14,13.32,2.20
0415,Waelbroeck et al (2005),0.44,0.11,10.86,1.43
0416,Waelbroeck et al (2005),-0.04,0.12,10.65,1.10
0417,Waelbroeck et al (2005),-0.06,0.13,9.24,1.06
0418,Waelbroeck et al (2005),1.60,0.11,17.02,1.78
0419,Waelbroeck et al (2005),1.58,0.10,16.35,1.83
0420,Waelbroeck et al (2005),0.02,0.12,10.42,1.46
0421,Waelbroeck et al (2005),0.17,0.12,14.23,3.66
0422,Waelbroeck et al (2005),0.89,0.13,15.36,2.35
0423,Waelbroeck et al (2005),-0.21,0.10,5.45,1.16
0424,Waelbroeck et al (2005),0.07,0.12,10.19,1.45
0425,Waelbroeck et al (2005),0.00,0.13,9.48,1.42
0426,Waelbroeck et al (2005),-0.23,0.13,5.51,1.38
0427,Waelbroeck et al (2005),-0.23,0.13,5.51,1.38
0428,Waelbroeck et al (2005),-0.23,0.13,5.51,1.38
