Sample,Ref,d18Osw,sd18Osw,T,sT
0203,Mohtadi et al. (2011),0.24,0.10,16.29,6.42
0204,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0205,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0206,Mohtadi et al. (2011),0.23,0.10,16.28,6.43
0207,Elderfield and Ganssen (2000),0.58,0.10,11.46,1.59
0208,Bousetta et al. (2012),1.52,0.10,13.86,2.16
0209,Bousetta et al. (2012),1.55,0.11,15.84,1.98
0210,Bousetta et al. (2012),1.52,0.10,13.86,2.16
0211,Bousetta et al. (2012),1.52,0.10,13.70,2.14
0212,Bousetta et al. (2012),1.46,0.10,12.95,2.14
0213,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0214,Mohtadi et al. (2011),0.23,0.10,16.28,6.43
0215,Mohtadi et al. (2011),0.20,0.10,15.86,6.40
0216,Waelbroeck et al (2005),0.25,0.15,8.76,1.53
0217,Thornalley et al 2011,0.38,0.12,8.69,1.07
0218,Pahnke et al 2003,-0.09,0.11,9.01,1.47
0219,Mashiotta et al 1999,0.20,0.11,11.52,1.20
0220,Vazquez Riverios et al 2016,0.22,0.13,7.91,1.36
0221,Vazquez Riverios et al 2016,0.38,0.11,8.91,1.22
0222,Vazquez Riverios et al 2016,0.25,0.13,8.35,1.35
0223,Vazquez Riverios et al 2016,0.39,0.12,9.64,1.17
0224,Vazquez Riverios et al 2016,0.19,0.13,6.55,1.78
0225,Vazquez Riverios et al 2016,0.55,0.14,11.91,2.55
0226,Vazquez Riverios et al 2016,0.83,0.13,13.36,1.85
0227,Vazquez Riverios et al 2016,0.73,0.11,13.98,1.83
0228,Vazquez Riverios et al 2016,0.39,0.10,13.69,1.38
0229,Vazquez Riverios et al 2016,0.40,0.10,13.86,1.19
0230,Vazquez Riverios et al 2016,0.02,0.13,8.77,3.06
0231,Vazquez Riverios et al 2016,-0.19,0.10,6.03,1.97
0232,Vazquez Riverios et al 2016,0.20,0.11,11.52,1.20
0233,Waelbroeck et al (2005),0.39,0.11,10.17,1.50
0234,Vazquez Riverios et al 2016,-0.19,0.10,5.24,1.80
0235,Waelbroeck et al (2005),0.56,0.10,11.49,1.42
0236,Waelbroeck et al (2005),0.61,0.10,11.95,1.80
0237,Waelbroeck et al (2005),0.61,0.10,11.95,1.80
0238,Waelbroeck et al (2005),0.58,0.10,11.46,1.59
0239,Waelbroeck et al (2005),0.58,0.10,11.62,1.47
0240,Waelbroeck et al (2005),0.51,0.11,11.24,1.39
0241,Waelbroeck et al (2005),0.41,0.11,10.35,1.43
0242,Waelbroeck et al (2005),0.38,0.11,10.04,1.37
0243,Waelbroeck et al (2005),0.25,0.15,8.76,1.53
0244,Waelbroeck et al (2005),0.24,0.14,8.25,1.46
0245,Waelbroeck et al (2005),0.25,0.13,8.35,1.35
0246,Waelbroeck et al (2005),0.26,0.13,8.59,1.22
0247,Waelbroeck et al (2005),0.23,0.13,8.14,1.23
0248,Waelbroeck et al (2005),0.87,0.13,16.99,2.64
0249,Waelbroeck et al (2005),0.87,0.12,16.96,2.54
0250,Waelbroeck et al (2005),0.84,0.12,16.50,2.58
0251,Waelbroeck et al (2005),0.79,0.12,15.52,2.44
0252,Waelbroeck et al (2005),0.74,0.12,14.44,2.34
0253,Waelbroeck et al (2005),0.65,0.10,12.81,2.07
0254,Waelbroeck et al (2005),0.59,0.10,11.55,1.68
0255,Mohtadi et al. (2011),0.20,0.10,15.89,6.45
0256,Vazquez Riverios et al 2016,-0.13,0.11,6.13,1.99
0257,Vazquez Riverios et al 2016,0.10,0.10,9.93,1.13
0258,Mohtadi et al. (2011),0.10,0.13,15.62,7.27
0259,Mohtadi et al. (2011),0.10,0.13,15.62,7.27
0260,Mohtadi et al. (2011),0.10,0.13,15.62,7.27
0261,Mohtadi et al. (2011),0.09,0.12,15.13,7.32
0262,Mohtadi et al. (2011),0.09,0.12,14.96,7.25
